Series ID,Year,Period,Label,Value
LNS14027659,2019,M01,2019 Jan,5.7
LNS14027659,2019,M02,2019 Feb,5.3
LNS14027659,2019,M03,2019 Mar,5.8
LNS14027659,2019,M04,2019 Apr,5.3
LNS14027659,2019,M05,2019 May,5.4
LNS14027659,2019,M06,2019 Jun,5.3
LNS14027659,2019,M07,2019 Jul,5.2
LNS14027659,2019,M08,2019 Aug,5.4
LNS14027659,2019,M09,2019 Sep,4.8
LNS14027659,2019,M10,2019 Oct,5.5
LNS14027659,2019,M11,2019 Nov,5.3
LNS14027659,2019,M12,2019 Dec,5.2
LNS14027659,2020,M01,2020 Jan,5.5
LNS14027659,2020,M02,2020 Feb,5.7
LNS14027659,2020,M03,2020 Mar,6.8